"","MPA","Habitat","Scenario","Exposure","Ecological sensitivity","Ecological adaptive capacity","Q_Exposure","Q_Ecological sensitivity","Q_Ecological adaptive capacity","Index"
"73","Cap de creus","Other seagrass meadows","RCP26_2050",0.379403039877098,0.330952380952381,0.25,"Intermediate","Low","Low","High"
"74","Brijuni","Caves","RCP26_2100",0.327934363860424,0.366666666666667,0.290123456790124,"Intermediate","Low","Low","High"
"75","Brijuni","Caves","RCP45_2050",0.388660873053288,0.314722222222222,0.290123456790124,"Intermediate","Low","Low","High"
"76","Tavolara","Caves","RCP26_2100",0.358770124639192,0.277777777777778,0.25,"Intermediate","Low","Low","High"
"77","Brijuni","Caves","RCP85_2050",0.417290578038029,0.323888888888889,0.290123456790124,"Intermediate","Low","Low","High"
"78","Tavolara","Other seagrass meadows","RCP26_2100",0.358770124639192,0.166666666666667,0.167033333333333,"Intermediate","Low","Low","High"
"79","Cap de creus","Other seagrass meadows","RCP85_2050",0.324972508994368,0.35952380952381,0.25,"Intermediate","Low","Low","High"
"80","Calanques","Other seagrass meadows","RCP45_2050",0.300068377870961,0.264166666666667,1e-05,"Low","Low","Low","Intermediate"
"81","Baix Emporda","Infralittoral","RCP45_2050",0.291554004044364,0.358333333333333,0.057,"Low","Low","Low","Intermediate"
"82","Calanques","Other seagrass meadows","RCP26_2100",0.232993792852476,0.261904761904762,1e-05,"Low","Low","Low","Intermediate"
"83","Cap de creus","Other seagrass meadows","RCP26_2100",0.276650910354068,0.361111111111111,0.25,"Low","Low","Low","Intermediate"
"84","Calanques","Other seagrass meadows","RCP26_2050",0.308621277158855,0.247916666666667,1e-05,"Low","Low","Low","Intermediate"
"85","Calanques","Other seagrass meadows","RCP85_2050",0.291469539074841,0.264166666666667,1e-05,"Low","Low","Low","Intermediate"
"86","Cap de creus","Other seagrass meadows","RCP45_2050",0.291554004044364,0.35952380952381,0.25,"Low","Low","Low","Intermediate"
"87","Tavolara","Other seagrass meadows","RCP45_2100",0.650834673183965,0.166666666666667,0.167033333333333,"Very High","Low","Low","High"
"88","Tavolara","Caves","RCP45_2100",0.650834673183965,0.277777777777778,0.25,"Very High","Low","Low","High"
"89","Cap de creus","Other seagrass meadows","RCP45_2100",0.545879821932197,0.361111111111111,0.25,"Very High","Low","Low","High"
"90","Brijuni","Caves","RCP45_2100",0.579798129171526,0.366666666666667,0.290123456790124,"Very High","Low","Low","High"
"91","Brijuni","Coralligenous","RCP85_2100",0.933756502824438,0.619047619047619,0.247163636363636,"Extreme","Very High","Low","Extreme"
"92","Baix Emporda","Coralligenous","RCP26_2050",0.379403039877098,0.608333333333333,0.004,"Intermediate","Very High","Low","Very High"
"93","Baix Emporda","Coralligenous","RCP85_2050",0.324972508994368,0.608333333333333,0.004,"Intermediate","Very High","Low","Very High"
"94","Baix Emporda","Coralligenous","RCP45_2050",0.291554004044364,0.608333333333333,0.004,"Low","Very High","Low","High"
"95","Brijuni","Coralligenous","RCP45_2100",0.579798129171526,0.619047619047619,0.247163636363636,"Very High","Very High","Low","Very High"
"96","Baix Emporda","Infralittoral","RCP45_2100",0.545879821932197,0.611111111111111,0.057,"Very High","Very High","Low","Very High"
"97","Cap de creus","Posidonia oceanica","RCP85_2100",0.866317376125847,0.666666666666667,0.663925,"Extreme","Extreme","Very High","Very High"
"98","Tavolara","Coralligenous","RCP85_2100",0.974587499689849,0.638888888888889,0.638138636363636,"Extreme","Extreme","Very High","Very High"
"99","Cap de creus","Coralligenous","RCP85_2100",0.866317376125847,0.738095238095238,0.67475,"Extreme","Extreme","Very High","Very High"
"100","Tavolara","Coralligenous","RCP26_2100",0.358770124639192,0.638888888888889,0.638138636363636,"Intermediate","Extreme","Very High","High"
"101","Cap de creus","Coralligenous","RCP26_2050",0.379403039877098,0.664583333333333,0.67475,"Intermediate","Extreme","Very High","High"
"102","Cap de creus","Coralligenous","RCP85_2050",0.324972508994368,0.689583333333333,0.67475,"Intermediate","Extreme","Very High","High"
"103","Cap de creus","Coralligenous","RCP45_2050",0.291554004044364,0.689583333333333,0.67475,"Low","Extreme","Very High","High"
"104","Cap de creus","Coralligenous","RCP26_2100",0.276650910354068,0.738095238095238,0.67475,"Low","Extreme","Very High","High"
"105","Cap de creus","Posidonia oceanica","RCP26_2100",0.276650910354068,0.666666666666667,0.663925,"Low","Extreme","Very High","High"
"106","Cap de creus","Posidonia oceanica","RCP45_2100",0.545879821932197,0.666666666666667,0.663925,"Very High","Extreme","Very High","Very High"
"107","Tavolara","Coralligenous","RCP45_2100",0.650834673183965,0.638888888888889,0.638138636363636,"Very High","Extreme","Very High","Very High"
"108","Cap de creus","Coralligenous","RCP45_2100",0.545879821932197,0.738095238095238,0.67475,"Very High","Extreme","Very High","Very High"
"109","Brijuni","Infralittoral","RCP85_2100",0.933756502824438,0.547619047619048,0.601269387755102,"Extreme","High","Very High","High"
"110","Portofino","Infralittoral","RCP26_2050",0.458796495711651,0.5375,0.729198979591837,"High","High","Very High","High"
"111","Tavolara","Infralittoral","RCP45_2050",0.432146845975072,0.537222222222222,0.613114795918367,"High","High","Very High","High"
"112","Tavolara","Infralittoral","RCP26_2050",0.461864991836836,0.528055555555556,0.613114795918367,"High","High","Very High","High"
"113","Brijuni","Infralittoral","RCP26_2050",0.397798662630573,0.486041666666667,0.601269387755102,"Intermediate","High","Very High","Intermediate"
"114","Brijuni","Infralittoral","RCP45_2050",0.388660873053288,0.486041666666667,0.601269387755102,"Intermediate","High","Very High","Intermediate"
"115","Brijuni","Infralittoral","RCP26_2100",0.327934363860424,0.547619047619048,0.601269387755102,"Intermediate","High","Very High","Intermediate"
"116","Brijuni","Infralittoral","RCP85_2050",0.417290578038029,0.492916666666667,0.601269387755102,"Intermediate","High","Very High","Intermediate"
"117","Portofino","Infralittoral","RCP45_2050",0.415490583827507,0.55,0.729198979591837,"Intermediate","High","Very High","Intermediate"
"118","Brijuni","Infralittoral","RCP45_2100",0.579798129171526,0.547619047619048,0.601269387755102,"Very High","High","Very High","High"
"119","Calanques","Infralittoral","RCP85_2100",0.70647291764881,0.476190476190476,0.687498775510204,"Extreme","Intermediate","Very High","High"
"120","Calanques","Coralligenous","RCP85_2100",0.70647291764881,0.476190476190476,0.722541818181818,"Extreme","Intermediate","Very High","High"
"121","Calanques","Coralligenous","RCP45_2100",0.41503981506753,0.476190476190476,0.722541818181818,"Intermediate","Intermediate","Very High","Intermediate"
"122","Calanques","Infralittoral","RCP45_2100",0.41503981506753,0.476190476190476,0.687498775510204,"Intermediate","Intermediate","Very High","Intermediate"
"123","Calanques","Coralligenous","RCP26_2100",0.232993792852476,0.476190476190476,0.722541818181818,"Low","Intermediate","Very High","Intermediate"
"124","Calanques","Infralittoral","RCP45_2050",0.300068377870961,0.451666666666667,0.687498775510204,"Low","Intermediate","Very High","Intermediate"
"125","Calanques","Coralligenous","RCP45_2050",0.300068377870961,0.451666666666667,0.722541818181818,"Low","Intermediate","Very High","Intermediate"
"126","Calanques","Infralittoral","RCP85_2050",0.291469539074841,0.451666666666667,0.687498775510204,"Low","Intermediate","Very High","Intermediate"
"127","Calanques","Coralligenous","RCP85_2050",0.291469539074841,0.451666666666667,0.722541818181818,"Low","Intermediate","Very High","Intermediate"
"128","Calanques","Infralittoral","RCP26_2050",0.308621277158855,0.435416666666667,0.687498775510204,"Low","Intermediate","Very High","Intermediate"
"129","Calanques","Coralligenous","RCP26_2050",0.308621277158855,0.435416666666667,0.722541818181818,"Low","Intermediate","Very High","Intermediate"
"130","Calanques","Infralittoral","RCP26_2100",0.232993792852476,0.476190476190476,0.687498775510204,"Low","Intermediate","Very High","Intermediate"
"131","Tavolara","Infralittoral","RCP85_2100",0.974587499689849,0.566666666666667,0.613114795918367,"Extreme","Very High","Very High","Very High"
"132","Portofino","Infralittoral","RCP85_2100",0.970040650406504,0.571428571428571,0.729198979591837,"Extreme","Very High","Very High","Very High"
"133","Tavolara","Infralittoral","RCP85_2050",0.434577053817334,0.555555555555556,0.613114795918367,"High","Very High","Very High","High"
"134","Portofino","Infralittoral","RCP85_2050",0.434847145373793,0.56875,0.729198979591837,"High","Very High","Very High","High"
"135","Tavolara","Coralligenous","RCP26_2050",0.461864991836836,0.59547619047619,0.638138636363636,"High","Very High","Very High","High"
"136","Tavolara","Coralligenous","RCP85_2050",0.434577053817334,0.619047619047619,0.638138636363636,"High","Very High","Very High","High"
"137","Tavolara","Coralligenous","RCP45_2050",0.432146845975072,0.603333333333333,0.638138636363636,"High","Very High","Very High","High"
"138","Cap de creus","Posidonia oceanica","RCP26_2050",0.379403039877098,0.602083333333333,0.663925,"Intermediate","Very High","Very High","High"
"139","Portofino","Infralittoral","RCP26_2100",0.361786455102598,0.571428571428571,0.729198979591837,"Intermediate","Very High","Very High","High"
"140","Tavolara","Infralittoral","RCP26_2100",0.358770124639192,0.566666666666667,0.613114795918367,"Intermediate","Very High","Very High","High"
"141","Cap de creus","Posidonia oceanica","RCP85_2050",0.324972508994368,0.627083333333333,0.663925,"Intermediate","Very High","Very High","High"
"142","Cap de creus","Posidonia oceanica","RCP45_2050",0.291554004044364,0.627083333333333,0.663925,"Low","Very High","Very High","Intermediate"
"143","Tavolara","Infralittoral","RCP45_2100",0.650834673183965,0.566666666666667,0.613114795918367,"Very High","Very High","Very High","High"
"144","Portofino","Infralittoral","RCP45_2100",0.63336813636702,0.571428571428571,0.729198979591837,"Very High","Very High","Very High","High"
